Date,Open,High,Low,Close,Adj Close,Volume
21-08-2023,262,262.049988,248.899994,248.899994,248.899994,74715306
22-08-2023,236.449997,236.449997,236.449997,236.449997,236.449997,7281398
23-08-2023,224.649994,224.649994,224.649994,224.649994,224.649994,4289046
24-08-2023,213.449997,213.449997,213.449997,213.449997,213.449997,27673350
25-08-2023,202.800003,224.100006,202.800003,214.5,214.5,281040100
28-08-2023,213.350006,222.25,207.550003,211.149994,211.149994,87522120
29-08-2023,212,221.699997,207.25,220.25,220.25,92693420
30-08-2023,224.899994,231.25,224.699997,231.25,231.25,21403170
31-08-2023,241.699997,242.800003,231.149994,233.5,233.5,124122100
01-09-2023,235,245.149994,234.199997,245.149994,245.149994,39481020
04-09-2023,255.300003,266.950012,249,253.449997,253.449997,99246730
05-09-2023,257,260,253,255.050003,255.050003,47127070
06-09-2023,247,259.799988,246.050003,252.850006,252.850006,225413100
07-09-2023,252,257.299988,251.25,251.800003,251.800003,43856830
08-09-2023,254,255,249.5,253.199997,253.199997,36090000
11-09-2023,256.950012,257.700012,250,250.149994,250.149994,24982850
12-09-2023,251.75,252,240.899994,244.25,244.25,39500710
13-09-2023,244.800003,247.800003,236.600006,240.199997,240.199997,27810990
14-09-2023,242,244.550003,241.25,242.550003,242.550003,14055230
15-09-2023,243.800003,244.649994,237.649994,239.399994,239.399994,27416100
18-09-2023,240,240.850006,232.100006,233.199997,233.199997,24694410
20-09-2023,230.399994,232,229,229.649994,229.649994,18317600
21-09-2023,230,235.600006,226.800003,227.649994,227.649994,33101550
22-09-2023,227.949997,232.25,226.350006,227.800003,227.800003,38327550
25-09-2023,230,230.850006,227.5,229.75,229.75,13392150
26-09-2023,231.100006,231.699997,230,230.399994,230.399994,8058261
27-09-2023,231.199997,231.199997,227,227.350006,227.350006,10984320
28-09-2023,228,228.850006,224.75,225.050003,225.050003,9143582
29-09-2023,225.899994,232.899994,225,231.199997,231.199997,12411230
03-10-2023,231.5,233.899994,230.550003,231.399994,231.399994,13185430
04-10-2023,230,230,223.5,224.649994,224.649994,23296540
05-10-2023,225.899994,227.899994,224.199997,225.399994,225.399994,13894930
06-10-2023,226.5,227.649994,223.699997,225.100006,225.100006,7531900
09-10-2023,223,223,218.850006,219.649994,219.649994,9696908
10-10-2023,221,223.899994,219.75,220.149994,220.149994,10451280
11-10-2023,222,227.699997,220.600006,225.100006,225.100006,11765080
12-10-2023,227,227.399994,224.75,225.149994,225.149994,7780605
13-10-2023,224,225.899994,222,224.550003,224.550003,10137210
16-10-2023,224.899994,225.949997,224,224.800003,224.800003,10850720
17-10-2023,231.5,233,220.5,220.949997,220.949997,34190040
18-10-2023,221.600006,222.899994,215.550003,216,216,27712060
19-10-2023,216,216,209.050003,214.199997,214.199997,42127110
20-10-2023,215.5,217,213,214.199997,214.199997,11101460
23-10-2023,214,214.199997,204.25,206.600006,206.600006,17817780
25-10-2023,206.600006,211.800003,206.5,210.149994,210.149994,22079260
26-10-2023,208,217,206.449997,215.850006,215.850006,23734030
27-10-2023,219.600006,225.600006,216.449997,222.899994,222.899994,20929440
30-10-2023,224.5,226.199997,218.149994,219,219,13508660
31-10-2023,222,223.199997,215.550003,219,219,17538200
01-11-2023,216,222.050003,215.300003,217.649994,217.649994,15862620
